Date,Open,High,Low,Close,Adj Close,Volume
2012-04-30,489.200012,499.899994,476.399994,480.000000,405.767181,1705839
2012-05-07,477.000000,499.899994,466.200012,497.700012,420.729828,3541242
2012-05-14,495.100006,495.799988,478.600006,487.500000,412.107239,1346634
2012-05-21,470.000000,476.200012,445.399994,451.200012,381.421112,3172531
2012-05-28,451.200012,464.899994,425.899994,427.299988,361.217285,2122255
2012-06-04,424.000000,448.899994,414.100006,430.700012,364.091461,2025500
2012-06-11,436.000000,441.700012,419.399994,437.100006,369.501678,2233981
2012-06-18,441.000000,454.100006,429.000000,447.500000,378.293304,2527112
2012-06-25,447.200012,463.500000,430.500000,461.200012,389.874542,2145461
2012-07-02,469.899994,483.000000,464.299988,472.899994,399.765167,2145463
2012-07-09,474.000000,479.000000,461.500000,465.000000,393.086914,1226462
2012-07-16,467.000000,486.899994,466.100006,481.299988,406.866058,1450189
2012-07-23,479.899994,520.000000,464.299988,518.000000,437.890350,2986326
2012-07-30,518.000000,519.000000,468.600006,503.500000,425.632813,3304959
2012-08-06,503.000000,524.000000,501.000000,512.000000,432.818237,1939547
2012-08-13,514.000000,524.000000,490.000000,511.000000,431.972931,3103713
2012-08-20,510.000000,516.500000,505.000000,508.500000,429.859558,1072089
2012-08-27,508.000000,517.000000,507.000000,513.000000,433.663605,834626
2012-09-03,514.000000,538.000000,514.000000,528.500000,446.766541,972417
2012-09-10,526.500000,534.000000,507.000000,524.500000,443.385162,1489535
2012-09-17,521.500000,543.500000,512.000000,533.500000,450.993286,1839618
2012-09-24,535.000000,537.000000,511.000000,514.000000,434.508972,1733709
2012-10-01,515.500000,539.000000,515.500000,535.500000,452.683960,1306000
2012-10-08,533.500000,539.000000,510.000000,513.500000,434.086304,1289982
2012-10-15,514.000000,527.000000,512.500000,518.500000,438.313019,1071241
2012-10-22,518.000000,518.500000,499.100006,508.500000,429.859558,1013723
2012-10-29,505.000000,525.000000,487.500000,518.500000,438.313019,1498518
2012-11-05,520.000000,543.500000,513.000000,537.000000,453.952026,1797243
2012-11-12,538.000000,541.500000,520.500000,534.000000,451.415955,1458390
2012-11-19,536.000000,551.000000,530.000000,546.000000,461.560089,1222117
2012-11-26,544.500000,561.500000,535.000000,558.500000,472.126862,1210992
2012-12-03,560.500000,569.000000,556.500000,564.500000,477.199036,1206113
2012-12-10,566.500000,579.500000,556.500000,558.500000,472.126862,1158476
2012-12-17,556.500000,558.000000,542.000000,550.000000,464.941437,1845528
2012-12-24,550.000000,556.000000,547.000000,554.000000,468.322845,245660
2012-12-31,554.000000,565.000000,553.000000,565.000000,477.621704,1020422
2013-01-07,565.000000,577.000000,559.000000,564.500000,477.199036,1584154
2013-01-14,565.000000,582.000000,553.500000,574.500000,485.652588,1876673
2013-01-21,577.000000,599.500000,567.000000,598.500000,505.940887,1486764
2013-01-28,598.500000,599.000000,585.500000,597.500000,505.095551,1508509
2013-02-04,598.500000,600.000000,585.500000,592.000000,500.446198,1172421
2013-02-11,586.500000,602.500000,581.500000,602.500000,509.322327,1519722
2013-02-18,565.000000,591.500000,557.000000,591.500000,500.023499,3536866
2013-02-25,591.000000,594.500000,577.500000,588.000000,497.064789,1545225
2013-03-04,588.000000,606.500000,586.500000,594.000000,502.136749,1491048
2013-03-11,596.500000,597.500000,585.500000,590.000000,498.755463,1206773
2013-03-18,585.000000,593.000000,562.500000,571.500000,483.116455,1216345
2013-03-25,574.500000,578.500000,557.000000,566.000000,483.503571,907336
2013-04-01,566.000000,574.000000,545.500000,548.500000,468.554260,1166864
2013-04-08,554.000000,583.500000,552.000000,568.000000,485.212128,2012769
2013-04-15,566.500000,569.000000,535.000000,546.500000,466.845764,1299314
2013-04-22,549.000000,552.500000,513.500000,525.000000,448.479492,2413365
2013-04-29,524.500000,548.500000,514.500000,543.500000,464.283051,2261119
2013-05-06,540.500000,581.000000,540.500000,581.000000,496.317261,2037190
2013-05-13,582.000000,585.500000,564.000000,569.500000,486.493469,1598666
2013-05-20,569.500000,574.500000,557.500000,562.000000,480.086548,985454
2013-05-27,562.000000,569.500000,547.500000,548.000000,468.127106,1094199
2013-06-03,547.000000,558.000000,523.500000,533.000000,455.313446,1613372
2013-06-10,531.000000,535.000000,504.500000,515.000000,439.937012,1795565
2013-06-17,515.500000,533.000000,504.000000,510.000000,435.665741,1680787
2013-06-24,509.500000,533.000000,495.500000,513.000000,438.228485,1961182
2013-07-01,516.000000,529.000000,499.000000,521.500000,445.489594,1697235
2013-07-08,523.000000,545.000000,523.000000,533.000000,455.313446,1080541
2013-07-15,534.000000,542.000000,528.500000,530.000000,452.750702,950450
2013-07-22,530.500000,551.000000,528.000000,546.500000,466.845764,1511056
2013-07-29,546.500000,565.500000,546.000000,565.500000,483.076447,1249960
2013-08-05,566.000000,570.000000,551.500000,569.500000,486.493469,1372355
2013-08-12,566.000000,592.000000,564.000000,573.500000,489.910400,1566019
2013-08-19,575.500000,579.500000,543.500000,554.500000,473.679749,2152299
2013-08-26,554.000000,556.500000,535.500000,547.500000,467.699951,1419511
2013-09-02,547.500000,557.500000,546.000000,554.500000,473.679749,1203008
2013-09-09,553.500000,584.500000,551.000000,579.000000,494.608704,1408694
2013-09-16,583.000000,583.000000,564.000000,575.000000,491.191833,1719245
2013-09-23,575.000000,578.500000,566.000000,567.500000,484.784943,1163750
2013-09-30,565.000000,573.000000,559.000000,562.000000,480.086548,1546906
2013-10-07,561.000000,567.000000,553.500000,562.500000,480.513702,1353731
2013-10-14,561.500000,583.500000,560.500000,583.500000,498.452881,991490
2013-10-21,582.500000,589.500000,557.000000,566.000000,483.503571,2234280
2013-10-28,567.000000,571.000000,547.500000,552.500000,471.971283,1756735
2013-11-04,551.000000,560.000000,542.000000,549.500000,469.408478,1450661
2013-11-11,553.000000,569.500000,543.500000,563.000000,480.940796,2466340
2013-11-18,565.500000,587.000000,562.000000,582.000000,497.171539,1990629
2013-11-25,584.000000,609.000000,583.000000,601.500000,513.829346,1823232
2013-12-02,603.000000,613.500000,579.000000,591.000000,504.859833,1709346
2013-12-09,590.000000,598.000000,570.000000,572.000000,488.629059,1228004
2013-12-16,573.000000,587.000000,570.000000,586.000000,500.588531,1273659
2013-12-23,585.500000,598.000000,583.000000,596.000000,509.130890,316485
2013-12-30,596.000000,602.500000,587.500000,596.000000,509.130890,713216
2014-01-06,598.500000,600.000000,569.500000,582.000000,497.171539,1515680
2014-01-13,584.000000,605.500000,573.000000,592.500000,506.141113,1870642
2014-01-20,592.500000,608.500000,574.500000,575.000000,491.191833,1901161
2014-01-27,571.500000,573.500000,536.000000,539.000000,460.438934,3086391
2014-02-03,541.000000,555.500000,537.000000,546.000000,466.418640,2134999
2014-02-10,552.000000,564.000000,548.500000,556.500000,475.388245,1624430
2014-02-17,558.000000,591.500000,544.000000,589.000000,503.151184,3605897
2014-02-24,591.500000,594.000000,568.000000,570.500000,487.347656,2595309
2014-03-03,548.000000,557.500000,531.000000,541.000000,462.147430,3740661
2014-03-10,537.000000,547.000000,522.500000,529.500000,452.323639,1903536
2014-03-17,530.000000,539.000000,512.500000,516.500000,441.218384,2396100
2014-03-24,516.500000,542.000000,510.000000,535.000000,464.135132,2480685
2014-03-31,538.000000,556.000000,534.500000,554.000000,480.618408,1910931
2014-04-07,552.000000,552.000000,530.000000,538.000000,466.737762,1333415
2014-04-14,534.500000,542.000000,523.500000,536.500000,465.436371,998899
2014-04-21,536.500000,546.000000,526.500000,530.000000,459.797424,927784
2014-04-28,529.500000,542.000000,526.000000,530.500000,460.231232,1243375
2014-05-05,530.000000,556.500000,518.000000,546.000000,473.678070,2331370
2014-05-12,548.500000,557.500000,546.500000,555.500000,481.919708,1022348
2014-05-19,560.000000,573.500000,558.000000,570.000000,494.499115,1830868
2014-05-26,575.500000,576.500000,567.000000,569.000000,493.631531,900913
2014-06-02,585.000000,585.000000,567.000000,571.500000,495.800415,923619
2014-06-09,571.500000,584.000000,571.500000,579.000000,502.306915,773132
2014-06-16,577.500000,587.000000,573.500000,575.000000,498.836823,1092191
2014-06-23,576.500000,583.500000,570.000000,578.500000,501.873138,1040800
2014-06-30,579.500000,591.000000,578.500000,589.000000,510.982330,1370807
2014-07-07,587.500000,593.000000,570.000000,577.000000,500.571930,1113220
2014-07-14,578.500000,588.500000,570.500000,572.000000,496.234161,1137301
2014-07-21,576.500000,578.500000,565.500000,565.500000,490.595123,1372505
2014-07-28,562.500000,566.000000,529.000000,533.500000,462.833862,1654495
2014-08-04,534.500000,540.000000,512.000000,516.000000,447.651825,1730451
2014-08-11,522.000000,549.500000,520.500000,533.000000,462.400055,1543872
2014-08-18,539.000000,546.000000,502.500000,511.500000,443.747864,2763240
2014-08-25,515.500000,526.500000,515.000000,517.000000,448.519348,1841494
2014-09-01,517.000000,541.500000,515.000000,537.000000,465.870239,2152103
2014-09-08,541.500000,542.000000,533.500000,535.500000,464.568848,1351730
2014-09-15,542.000000,556.000000,540.500000,552.000000,478.883331,1691117
2014-09-22,550.500000,551.000000,520.000000,529.500000,459.363678,1573857
2014-09-29,527.000000,529.500000,510.500000,518.000000,449.386871,1846853
2014-10-06,521.000000,524.000000,508.000000,509.000000,441.578979,1792906
2014-10-13,505.500000,518.000000,480.799988,500.500000,434.204865,2660558
2014-10-20,502.500000,516.000000,502.000000,512.500000,444.615417,1899936
2014-10-27,518.500000,529.000000,511.500000,523.000000,453.724579,1691522
2014-11-03,522.500000,525.500000,498.200012,509.500000,442.012787,2671448
2014-11-10,525.000000,532.500000,504.000000,511.500000,443.747864,2665623
2014-11-17,506.500000,541.500000,503.000000,540.000000,468.472839,1824521
2014-11-24,541.000000,550.000000,524.500000,533.000000,462.400055,2049187
2014-12-01,525.000000,531.000000,513.000000,525.000000,455.459717,2662201
2014-12-08,523.500000,524.000000,480.100006,491.200012,426.136780,2642546
2014-12-15,488.399994,494.200012,443.299988,478.399994,415.032196,5328070
2014-12-22,475.500000,488.899994,475.500000,488.000000,423.360626,812736
2014-12-29,491.299988,491.299988,473.899994,476.799988,413.644135,899018
2015-01-05,475.000000,479.299988,458.600006,478.100006,414.771912,1989296
2015-01-12,480.000000,486.799988,468.399994,480.500000,416.854065,2658763
2015-01-19,480.500000,502.000000,478.299988,500.500000,434.204865,2017633
2015-01-26,498.000000,498.000000,483.000000,485.000000,420.757996,2346524
2015-02-02,485.000000,506.500000,484.000000,499.000000,432.903595,2362152
2015-02-09,494.200012,545.500000,484.500000,526.000000,456.327240,3366156
2015-02-16,526.000000,549.000000,514.000000,540.500000,468.906616,2984459
2015-02-23,542.000000,573.000000,536.500000,570.500000,494.932831,1967151
2015-03-02,570.000000,579.000000,557.500000,577.500000,501.005707,1941634
2015-03-09,577.500000,587.500000,573.000000,579.000000,502.306915,1874543
2015-03-16,578.000000,584.500000,567.500000,578.500000,501.873138,1837473
2015-03-23,577.000000,581.500000,555.500000,566.000000,491.028900,1649356
2015-03-30,568.500000,577.000000,567.500000,577.000000,508.580994,1063064
2015-04-06,577.000000,617.000000,573.500000,605.000000,533.260864,1761194
2015-04-13,599.500000,623.500000,595.000000,601.000000,529.735168,2503987
2015-04-20,600.500000,619.000000,600.000000,615.500000,542.515808,1654654
2015-04-27,619.500000,634.500000,602.000000,607.000000,535.023743,1424540
2015-05-04,609.000000,638.000000,607.500000,621.500000,547.804382,1854819
2015-05-11,624.000000,638.000000,599.500000,608.000000,535.905151,2223387
2015-05-18,617.000000,649.000000,605.500000,648.500000,571.602722,2549460
2015-05-25,648.500000,652.500000,621.000000,624.500000,550.448669,2044464
2015-06-01,627.500000,631.000000,599.000000,607.500000,535.464417,1577235
2015-06-08,601.500000,614.000000,593.500000,605.000000,533.260864,1656239
2015-06-15,600.500000,627.000000,596.000000,611.000000,538.549438,1592577
2015-06-22,619.000000,624.000000,605.500000,614.000000,541.193665,1394143
2015-06-29,594.000000,619.000000,592.500000,604.000000,532.379456,1704291
2015-07-06,599.000000,612.500000,582.500000,610.000000,537.667969,1534077
2015-07-13,617.000000,631.000000,612.500000,630.000000,555.296387,1077657
2015-07-20,629.500000,635.000000,613.500000,618.000000,544.719360,1010249
2015-07-27,616.000000,618.500000,588.500000,592.000000,521.802368,1668059
2015-08-03,590.000000,607.500000,588.000000,602.000000,530.616638,1246694
2015-08-10,605.500000,606.500000,571.500000,583.000000,513.869568,1405448
2015-08-17,588.000000,590.000000,508.000000,515.000000,453.932831,4194532
2015-08-24,503.500000,513.000000,479.299988,505.500000,445.559296,3864882
2015-08-31,504.000000,514.500000,492.500000,501.500000,442.033600,1794891
2015-09-07,505.500000,515.000000,493.600006,498.299988,439.213043,1706066
2015-09-14,499.100006,528.500000,486.299988,510.500000,449.966400,2334686
2015-09-21,510.000000,516.500000,500.000000,508.000000,447.762848,1927220
2015-09-28,505.500000,520.000000,490.600006,512.000000,451.288544,1261335
2015-10-05,519.000000,534.000000,518.000000,531.000000,468.035583,1407991
2015-10-12,531.000000,535.000000,520.000000,525.000000,462.747040,1726481
2015-10-19,525.000000,542.000000,521.500000,538.000000,474.205505,1471323
2015-10-26,538.500000,563.500000,536.000000,556.000000,490.071106,1884104
2015-11-02,552.000000,573.000000,547.500000,556.000000,490.071106,1221161
2015-11-09,557.000000,609.000000,541.000000,589.000000,519.158142,3353030
2015-11-16,586.000000,618.500000,585.000000,614.000000,541.193665,1535111
2015-11-23,611.000000,618.500000,583.500000,588.000000,518.276672,1375692
2015-11-30,586.000000,606.000000,585.500000,595.000000,524.446655,753099
2015-12-07,595.500000,597.500000,570.000000,572.000000,504.173920,1358745
2015-12-14,582.500000,611.000000,568.000000,605.000000,533.260864,1411146
2015-12-21,606.000000,611.000000,598.500000,610.000000,537.667969,498909
2015-12-28,612.000000,618.000000,608.500000,612.500000,539.871521,241770
2016-01-04,615.000000,618.000000,585.000000,594.000000,523.565308,1100474
2016-01-11,584.000000,586.000000,530.000000,531.500000,468.476288,2284226
2016-01-18,530.000000,550.500000,516.000000,540.500000,476.409027,2009991
2016-01-25,545.500000,578.000000,539.500000,578.000000,509.462463,1989665
2016-02-01,580.000000,589.000000,560.500000,573.000000,505.055328,1870832
2016-02-08,572.500000,595.000000,534.500000,590.000000,520.039490,3239609
2016-02-15,607.000000,618.000000,598.500000,605.500000,533.701538,1910028
2016-02-22,611.000000,614.000000,579.500000,596.500000,525.768799,1781834
2016-02-29,590.000000,607.500000,586.500000,604.000000,532.379456,1594445
2016-03-07,604.000000,607.500000,590.500000,602.500000,531.057312,1278206
2016-03-14,607.000000,615.500000,580.500000,591.000000,520.920959,1691238
2016-03-21,594.000000,613.000000,582.500000,612.000000,547.715637,715660
2016-03-28,612.000000,629.500000,609.500000,620.000000,554.875305,931346
